iter	Passed	Remaining
0	156	156305
1	183	91747
2	212	70774
3	239	59719
4	266	53123
5	295	49011
6	323	45849
7	349	43323
8	376	41511
9	444	44035
10	475	42737
11	519	42799
12	553	42003
13	600	42268
14	651	42791
15	685	42153
16	719	41624
17	760	41466
18	794	41043
19	828	40576
20	859	40066
21	895	39795
22	921	39160
23	946	38489
24	977	38106
25	1007	37755
26	1035	37326
27	1068	37092
28	1123	37620
29	1177	38067
30	1223	38233
31	1282	38784
32	1311	38422
33	1339	38059
34	1368	37720
35	1396	37394
36	1429	37212
37	1460	36976
38	1577	38873
39	1645	39491
40	1690	39551
41	1728	39435
42	1771	39431
43	1819	39536
44	1863	39542
45	1900	39419
46	1935	39254
47	1976	39195
48	2032	39443
49	2109	40074
50	2186	40679
51	2257	41162
52	2308	41245
53	2368	41494
54	2407	41367
55	2827	47656
56	2884	47724
57	2937	47709
58	3000	47854
59	3065	48024
60	3128	48160
61	3193	48307
62	3275	48719
63	3358	49121
64	3402	48941
65	3445	48754
66	3475	48396
67	3507	48073
68	3538	47746
69	3567	47397
70	3630	47496
71	3660	47178
72	3688	46839
73	3717	46516
74	3746	46205
75	3790	46084
76	3824	45848
77	3853	45551
78	3878	45219
79	3908	44943
80	3938	44687
81	3966	44406
82	4004	44239
83	4042	44077
84	4074	43862
85	4102	43605
86	4142	43471
87	4217	43709
88	4287	43881
89	4321	43692
90	4354	43498
91	4384	43273
92	4413	43045
93	4451	42903
94	4486	42743
95	4516	42534
96	4548	42347
97	4580	42159
98	4609	41946
99	4637	41736
100	4665	41525
101	4706	41437
102	4736	41246
103	4776	41149
104	4812	41020
105	4858	40979
106	4915	41023
107	4954	40922
108	4989	40785
109	5019	40616
110	5046	40417
111	5077	40255
112	5113	40138
113	5138	39933
114	5165	39752
115	5191	39562
116	5217	39379
117	5244	39203
118	5280	39089
119	5312	38958
120	5342	38812
121	5367	38628
122	5395	38473
123	5425	38326
124	5450	38151
125	5479	38008
126	5515	37910
127	5542	37756
128	5565	37580
129	5594	37441
130	5623	37305
131	5648	37146
132	5681	37038
133	5710	36906
134	5752	36861
135	5779	36714
136	5803	36559
137	5841	36487
138	5880	36427
139	5906	36280
140	5939	36183
141	5984	36159
142	6016	36054
143	6043	35927
144	6070	35796
145	6104	35707
146	6133	35589
147	6161	35472
148	6197	35395
149	6225	35278
150	6254	35163
151	6279	35034
152	6306	34911
153	6333	34791
154	6360	34677
155	6394	34596
156	6422	34484
157	6453	34391
158	6478	34265
159	6518	34223
160	6545	34109
161	6574	34009
162	6613	33961
163	6642	33859
164	6669	33750
165	6696	33642
166	6723	33535
167	6756	33461
168	6783	33353
169	6817	33285
170	6848	33199
171	6875	33099
172	6899	32981
173	6932	32908
174	6963	32828
175	6992	32738
176	7026	32672
177	7059	32598
178	7085	32499
179	7111	32394
180	7138	32300
181	7164	32201
182	7191	32107
183	7229	32063
184	7256	31967
185	7283	31876
186	7309	31776
187	7339	31698
188	7365	31607
189	7391	31511
190	7424	31446
191	7454	31373
192	7486	31304
193	7514	31219
194	7539	31125
195	7568	31048
196	7595	30961
197	7627	30894
198	7661	30839
199	7689	30758
200	7719	30687
201	7753	30629
202	7779	30541
203	7805	30457
204	7830	30366
205	7865	30316
206	7891	30233
207	7919	30153
208	7945	30070
209	7974	29997
210	8001	29921
211	8030	29849
212	8066	29804
213	8090	29714
214	8117	29640
215	8149	29577
216	8176	29502
217	8201	29418
218	8227	29342
219	8260	29287
220	8292	29228
221	8316	29143
222	8342	29067
223	8367	28987
224	8397	28924
225	8425	28854
226	8449	28772
227	8479	28710
228	8510	28652
229	8541	28593
230	8570	28532
231	8596	28457
232	8623	28386
233	8648	28309
234	8674	28238
235	8721	28233
236	8751	28173
237	8776	28099
238	8809	28050
239	8838	27989
240	8867	27927
241	8896	27865
242	8922	27796
243	8963	27771
244	8999	27734
245	9035	27694
246	9070	27650
247	9103	27605
248	9137	27558
249	9171	27515
250	9210	27484
251	9244	27439
252	9276	27388
253	9310	27343
254	9344	27300
255	9379	27259
256	9420	27235
257	9451	27183
258	9482	27129
259	9514	27079
260	9547	27032
261	9578	26979
262	9618	26952
263	9648	26899
264	9681	26851
265	9718	26817
266	9750	26767
267	9781	26717
268	9828	26709
269	9859	26657
270	9891	26609
271	9924	26562
272	9960	26525
273	9990	26470
274	10027	26437
275	10057	26381
276	10083	26319
277	10108	26254
278	10138	26199
279	10163	26135
280	10189	26071
281	10225	26034
282	10256	25986
283	10284	25928
284	10311	25868
285	10337	25807
286	10369	25759
287	10395	25700
288	10419	25634
289	10448	25580
290	10483	25541
291	10512	25488
292	10536	25424
293	10631	25528
294	10841	25908
295	10924	25983
296	10999	26035
297	11094	26136
298	11129	26092
299	11159	26038
300	11194	25996
301	11230	25956
302	11259	25900
303	11286	25839
304	11316	25787
305	11352	25747
306	11381	25690
307	11407	25630
308	11434	25570
309	11458	25504
310	11486	25447
311	11519	25402
312	11550	25352
313	11581	25301
314	11607	25241
315	11636	25188
316	11663	25129
317	11696	25085
318	11727	25036
319	11752	24973
320	11782	24924
321	11814	24877
322	11845	24827
323	11873	24772
324	11909	24736
325	11942	24690
326	11976	24648
327	12009	24605
328	12059	24595
329	12092	24550
330	12130	24516
331	12159	24465
332	12191	24420
333	12221	24370
334	12256	24329
335	12285	24278
336	12315	24228
337	12346	24182
338	12373	24127
339	12402	24075
340	12437	24035
341	12471	23994
342	12498	23939
343	12527	23889
344	12557	23840
345	12586	23790
346	12615	23740
347	12642	23685
348	12684	23660
349	12718	23619
350	12747	23570
351	12775	23518
352	12802	23465
353	12837	23426
354	12864	23373
355	12893	23323
356	12943	23312
